Participant,Gender,Group,Pre,Post
1,Male,Control,1.24,1.43
2,Male,Control,0.97,0.90
3,Male,Control,1.80,1.31
4,Male,Control,2.14,2.22
5,Male,Control,1.49,1.27
6,Male,Plyo,1.22,1.22
7,Male,Plyo,1.33,1.21
8,Male,Plyo,1.84,1.35
9,Male,Plyo,1.29,0.98
10,Male,Plyo,1.42,1.32
11,Female,Control,2.18,0.77
12,Female,Control,1.75,1.43
13,Female,Control,4.05,0.71
14,Female,Control,1.82,0.65
15,Female,Control,3.34,1.24
16,Female,Plyo,1.98,1.48
17,Female,Plyo,0.65,1.19
18,Female,Plyo,1.49,0.97
19,Female,Plyo,1.60,0.63
20,Female,Plyo,1.52,1.07
