Participant,Gender,Group,Pre,Post
1,Male,Control,0.46,0.40
2,Male,Control,0.57,0.49
3,Male,Control,0.36,0.53
4,Male,Control,0.45,0.42
5,Male,Control,0.33,0.44
6,Male,Plyo,0.29,0.47
7,Male,Plyo,0.45,0.41
8,Male,Plyo,0.43,0.66
9,Male,Plyo,0.51,0.70
10,Male,Plyo,0.37,0.46
11,Female,Control,0.32,0.49
12,Female,Control,0.24,0.23
13,Female,Control,0.38,0.27
14,Female,Control,0.32,0.25
15,Female,Control,0.38,0.43
16,Female,Plyo,0.25,0.23
17,Female,Plyo,0.21,0.26
18,Female,Plyo,0.15,0.24
19,Female,Plyo,0.31,0.31
20,Female,Plyo,0.27,0.23
