Participant,Gender,Group,Pre,Post
1,Male,Control,0.54,0.75
2,Male,Control,0.48,0.73
3,Male,Control,0.42,0.63
4,Male,Control,0.37,0.74
5,Male,Control,0.62,0.73
6,Male,Plyo,0.57,0.83
7,Male,Plyo,0.66,0.74
8,Male,Plyo,0.55,0.75
9,Male,Plyo,0.65,0.70
10,Male,Plyo,0.47,0.68
11,Female,Control,0.49,0.30
12,Female,Control,0.46,0.65
13,Female,Control,0.54,0.67
14,Female,Control,0.46,0.52
15,Female,Control,0.22,0.36
16,Female,Plyo,0.34,0.41
17,Female,Plyo,0.63,0.53
18,Female,Plyo,0.49,0.51
19,Female,Plyo,0.31,0.77
20,Female,Plyo,0.43,0.49
