Participant,Gender,Group,Pre,Post
1,Male,Control,0.26,0.44
2,Male,Control,0.51,0.45
3,Male,Control,0.61,0.53
4,Male,Control,0.49,0.49
5,Male,Control,0.44,0.55
6,Male,Plyo,0.54,0.54
7,Male,Plyo,0.49,0.33
8,Male,Plyo,0.53,0.62
9,Male,Plyo,0.45,0.43
10,Male,Plyo,0.55,0.64
11,Female,Control,0.41,0.39
12,Female,Control,0.32,0.17
13,Female,Control,0.25,0.27
14,Female,Control,0.14,0.45
15,Female,Control,0.34,0.30
16,Female,Plyo,0.18,0.25
17,Female,Plyo,0.27,0.33
18,Female,Plyo,0.21,0.13
19,Female,Plyo,0.17,0.47
20,Female,Plyo,0.47,0.25
