Participant,Gender,Group,Pre,Post
1,Male,Control,0.56,0.58
2,Male,Control,0.48,0.38
3,Male,Control,0.72,0.59
4,Male,Control,0.56,0.62
5,Male,Control,0.60,0.50
6,Male,Plyo,0.54,0.66
7,Male,Plyo,0.63,0.55
8,Male,Plyo,0.66,0.63
9,Male,Plyo,0.62,0.64
10,Male,Plyo,0.62,0.63
11,Female,Control,0.35,0.20
12,Female,Control,0.41,0.37
13,Female,Control,0.43,0.21
14,Female,Control,0.37,0.23
15,Female,Control,0.30,0.27
16,Female,Plyo,0.40,0.34
17,Female,Plyo,0.21,0.38
18,Female,Plyo,0.55,0.32
19,Female,Plyo,0.48,0.33
20,Female,Plyo,0.34,0.47
