Participant,Gender,Group,Pre,Post
1,Male,Control,2.11,1.60
2,Male,Control,1.05,1.04
3,Male,Control,0.88,1.35
4,Male,Control,1.10,1.16
5,Male,Control,1.13,1.01
6,Male,Plyo,1.02,1.06
7,Male,Plyo,1.17,1.70
8,Male,Plyo,1.25,0.80
9,Male,Plyo,1.19,1.56
10,Male,Plyo,0.95,0.89
11,Female,Control,0.25,0.61
12,Female,Control,1.38,2.34
13,Female,Control,1.93,1.16
14,Female,Control,2.21,0.93
15,Female,Control,1.13,1.06
16,Female,Plyo,2.29,2.06
17,Female,Plyo,1.37,1.59
18,Female,Plyo,2.23,2.63
19,Female,Plyo,2.55,1.18
20,Female,Plyo,0.68,2.05
